#              ************************************
#              *****    GLOBAL ATTRIBUTES    ******
#              ************************************
#
#     TITLE                           SOLAR-ORBITER
#     PROJECT                         SPDF
#     DISCIPLINE                      Space Physics>Interplanetary Studies
#                                     Solar Physics>Heliospheric Physics
#     SOURCE_NAME                     solo> solar orbiter
#     DATA_TYPE                       HELIO1HR>1 Hour Time Resolution from helioweb
#     DESCRIPTOR                      position>sc positions
#     DATA_VERSION                    1
#     ADID_REF                        NSSD0110
#     LOGICAL_FILE_ID                 solo_helio1hr_position_v01
#     LOGICAL_SOURCE                  solo_helio1hr_position
#     LOGICAL_SOURCE_DESCRIPTION      Position in heliocentric coordinates from SPDF Helioweb
#     PI_NAME                         Natalia Papitashvili
#     PI_AFFILIATION                  NASA/GSFC/SPDF
#     MISSION_GROUP                   Solar Orbiter
#     INSTRUMENT_TYPE                 Ephemeris/Attitude/Ancillary
#     TIME_RESOLUTION                 1 hour
#     LINK_TEXT                       Heliocentric Trajectories
#     LINK_TITLE                      Documentation
#     HTTP_LINK                       https://omniweb.gsfc.nasa.gov/coho/helios/heli.html
#     CDAWEB_PARENTS                  solo_helio1hr_position_00000000_v01
#                                     solo_helio1hr_position_20200211_v01
#     CDFMAJOR                        COL_MAJOR
#
#              ************************************
#              ****  RECORD VARYING VARIABLES  ****
#              ************************************
#
#  1. Time, beginning of interval
#  2. Distance from Sun to object
#  3. Latitude in heliographic Inertial Coordinate System (HGI)
#  4. Longitude in heliographic Inertial Coordinate System (HGI)
#
EPOCH_yyyy-mm-ddThh:mm:ss.sssZ,RAD_AU_AU,HGI_LAT_deg,HGI_LON_deg
2024-03-23T13:00:00.000Z,0.386800,-7.96000,116.946
2024-03-23T14:00:00.000Z,0.386300,-7.96200,117.132
2024-03-23T15:00:00.000Z,0.385700,-7.96400,117.318
2024-03-23T16:00:00.000Z,0.385200,-7.96600,117.504
2024-03-23T17:00:00.000Z,0.384700,-7.96700,117.692
2024-03-23T18:00:00.000Z,0.384100,-7.96900,117.879
2024-03-23T19:00:00.000Z,0.383600,-7.97000,118.068
2024-03-23T20:00:00.000Z,0.383000,-7.97200,118.256
2024-03-23T21:00:00.000Z,0.382500,-7.97300,118.446
2024-03-23T22:00:00.000Z,0.382000,-7.97400,118.636
2024-03-23T23:00:00.000Z,0.381400,-7.97500,118.826
2024-03-24T00:00:00.000Z,0.380900,-7.97600,119.017
2024-03-24T01:00:00.000Z,0.380400,-7.97700,119.208
2024-03-24T02:00:00.000Z,0.379800,-7.97800,119.400
2024-03-24T03:00:00.000Z,0.379300,-7.97900,119.593
#  
# Key Parameter and Survey data (labels K0,K1,K2) are preliminary browse data.
# Generated by CDAWeb on: Sat Aug 30 08:14:25 2025
