#              ************************************
#              *****    GLOBAL ATTRIBUTES    ******
#              ************************************
#
#     PROJECT                         Solar Orbiter
#     SOURCE_NAME                     SOLO>Solar Orbiter
#     DISCIPLINE                      Space Physics>Interplanetary Studies
#     DATA_TYPE                       L2>Level 2 Calibrated Data
#     DESCRIPTOR                      MAG>Magnetometer
#     DATA_VERSION                    01
#     SOFTWARE_VERSION                2.26.1
#     SKELETON_VERSION                11
#     PI_NAME                         T. Horbury
#     PI_AFFILIATION                  The Blackett Laboratory, Imperial College London
#     TEXT                            Dual-sensor, triaxial fluxgate magnetometer
#                                     doi:10.1051/0004-6361/201937257
#     INSTRUMENT_TYPE                 Magnetic Fields (space)
#     MISSION_GROUP                   Solar Orbiter
#     LOGICAL_SOURCE                  solo_L2_mag-rtn
#     LOGICAL_FILE_ID                 solo_L2_mag-rtn-normal-1-minute
#     LOGICAL_SOURCE_DESCRIPTION      Solar Orbiter Magnetometer L2 Data
#     RULES_OF_USE                    Publication quality. Take note of Quality Flag and refer to SOL-MAG-DPDD for                          
#                                      exceptions                                                                                            
#     GENERATED_BY                    The Blackett Laboratory, Imperial College London
#     GENERATION_DATE                 2024-07-11T10:15:42
#     MODS                            V01 2019/12/11 I. Carrasco: Initial release
#                                     V02 2019/12/18 I. Carrasco: Second release
#                                     V03 2020/03/17 H. O'Brien: Third release
#                                     V04 2020/03/27 V. Evans: Fourth release
#                                     V05 2020/03/30 V. Evans: Fifth release
#                                     V06 2020/03/31 V. Evans: Sixth release
#                                     V07 2020/05/01 V. Angelini: Seventh release
#                                     V08 2020/06/18 V. Angelini: Eighth release
#                                     V07 2020/07/27 V. Angelini: Ninth release
#                                     V10 2020/08/18 V. Angelini: Tenth release
#                                     V11 2020/09/11 V. Angelini: Eleventh release
#     LEVEL                           L2>Level 2 Calibrated Data
#     PARENTS                         Time-conversion (OBT to UTC): solo_ANC_soc-flown-mk_V111_20240324_001.tm
#                                     solo_CAL_mag-obs-burst-bitshift_V01.csv, solo_CAL_mag-ibs-burst-bitshift_V01.csv
#                                     solo_L0_mag-obs-burst-puc_20240323_V01.csv, solo_L0_mag-ibs-burst-puc_20240323_V01.csv
#                                     L1 filename: solo_L1_mag-obs-burst_20240323_V01.cdf, MAG Heater Cleaning: HeaterProfile_2024-03-31_V998.mat
#                                     Spacecraft Heater Cleaning: LCLProfile-20220117T111248.mat, L2 attitude transformation: solo_ANC_soc-flown-mk_V111_20240404_002.tm
#                                     solo_L2_mag-rtn-normal-1-minute-internal_20240323_V01.cdf
#     INSTRUMENT_NAME                 MAG
#     ACKNOWLEDGEMENT                 Solar Orbiter magnetometer data was provided by Imperial College Londonand supported                  
#                                      by the UK Space Agency                                                                                
#     LINK_TEXT                       Solar Orbiter MAG
#     LINK_TITLE                      Homepage
#                                     https://www.imperial.ac.uk/space-and-atmospheric-physics/research/missions-and-projects/space-missions
#     SOOP_TYPE                       NA
#     OBS_ID                          NA
#     DATA_PRODUCT                    RTN > Data in RTN coordinates
#     CDAWEB_PARENTS                  solo_l2_mag-rtn-normal-1-minute_00000000_v01
#                                     solo_l2_mag-rtn-normal-1-minute_20240323_v01, solo_l2_mag-rtn-normal-1-minute_20240324_v01
#     CDFMAJOR                        COL_MAJOR
#
#              ************************************
#              ****  RECORD VARYING VARIABLES  ****
#              ************************************
#
#  1. Epoch encoded as Terrestrial Time on rotating Earth geoid, ns since J2000
#  2. Magnetic field vector in RTN coordinates
#
EPOCH_yyyy-mm-ddThh:mm:ss.sssZ,B_R_nT,B_T_nT,B_N_nT
2024-03-23T12:32:30.000004470Z,-28.6724,9.46648,-2.86914
2024-03-23T12:33:30.000000894Z,-25.5806,16.5367,3.97200
2024-03-23T12:34:29.999997317Z,-30.6262,-0.421656,1.89268
2024-03-23T12:35:30.000003799Z,-19.5082,23.3865,2.34830
2024-03-23T12:36:30.000000223Z,-25.6914,11.1381,12.3575
2024-03-23T12:37:29.999996647Z,-10.7546,29.1073,5.41043
2024-03-23T12:38:30.000003129Z,-12.6327,28.1386,6.21854
2024-03-23T12:39:29.999999552Z,-20.5265,20.3588,13.6426
2024-03-23T12:40:29.999995976Z,-15.7440,27.0446,6.43145
2024-03-23T12:41:30.000002458Z,-13.9240,29.0041,1.71771
2024-03-23T12:42:29.999998882Z,-12.1303,9.90126,-26.3224
2024-03-23T12:43:29.999995306Z,-5.12968,29.6080,1.72170
2024-03-23T12:44:30.000001788Z,-17.3235,25.3821,1.37787
2024-03-23T12:45:29.999998211Z,-2.32570,30.3880,9.59652
2024-03-23T12:46:30.000004693Z,-10.2470,29.8522,6.48276
2024-03-23T12:47:30.000001117Z,-9.39587,28.5047,10.8575
2024-03-23T12:48:29.999997541Z,-12.6310,23.8396,16.6274
2024-03-23T12:49:30.000004023Z,-11.3245,26.4588,14.5771
2024-03-23T12:50:30.000000447Z,-14.0646,23.3647,-15.0248
2024-03-23T12:51:29.999996870Z,-10.6200,29.5025,3.26108
2024-03-23T12:52:30.000003352Z,-5.71896,28.3136,-12.3299
2024-03-23T12:53:29.999999776Z,-4.75535,30.4129,11.9302
2024-03-23T12:54:29.999996200Z,-13.3923,30.7612,6.74962
2024-03-23T12:55:30.000002682Z,-10.7282,31.9760,2.05578
2024-03-23T12:56:29.999999105Z,-9.00027,31.2009,7.81949
2024-03-23T12:57:29.999995529Z,-14.5566,30.4519,-2.22767
2024-03-23T12:58:30.000002011Z,-17.5854,24.0150,-10.9428
2024-03-23T12:59:29.999998435Z,-3.52236,20.0243,25.0778
2024-03-23T13:00:30.000004917Z,-3.04340,30.4201,11.3626
2024-03-23T13:01:30.000001341Z,-8.16041,29.7742,11.6207
2024-03-23T13:02:29.999997764Z,-8.00661,31.1827,7.90441
2024-03-23T13:03:30.000004246Z,-6.31631,28.4002,17.9119
2024-03-23T13:04:30.000000670Z,-10.4018,29.0280,10.1603
2024-03-23T13:05:29.999997094Z,-4.46916,22.1549,19.4453
2024-03-23T13:06:30.000003576Z,-11.5446,25.5995,3.61333
2024-03-23T13:07:30.000000000Z,-19.1525,20.3951,-11.9489
2024-03-23T13:08:29.999996423Z,-23.3664,8.79192,-15.4890
2024-03-23T13:09:30.000002905Z,-21.9744,18.2178,14.4307
2024-03-23T13:10:29.999999329Z,-12.8366,13.7494,24.2839
2024-03-23T13:11:29.999995753Z,-15.3758,21.9056,15.1898
2024-03-23T13:12:30.000002235Z,-14.5903,13.5193,22.6346
2024-03-23T13:13:29.999998658Z,-19.0062,18.8019,15.8101
2024-03-23T13:14:29.999995082Z,-21.4936,18.5116,16.3078
2024-03-23T13:15:30.000001564Z,-25.9406,9.51314,14.3317
2024-03-23T13:16:29.999997988Z,-27.9875,16.9303,11.2804
2024-03-23T13:17:30.000004470Z,-23.9357,21.1925,10.0251
2024-03-23T13:18:30.000000894Z,-27.1970,14.1435,11.1262
2024-03-23T13:19:29.999997317Z,-29.0730,14.5950,7.09536
2024-03-23T13:20:30.000003799Z,-29.8010,13.8541,7.59468
2024-03-23T13:21:30.000000223Z,-32.2730,11.3508,5.60000
