#              ************************************
#              *****    GLOBAL ATTRIBUTES    ******
#              ************************************
#
#     PROJECT                         STP>Solar-Terrestrial Physics
#     SOURCE_NAME                     SOLO>Solar Orbiter
#     DISCIPLINE                      Solar Physics>Heliospheric Physics
#     DATA_TYPE                       L2>Level 2 Calibrated Data
#     DESCRIPTOR                      SWA-PAS>Solar Wind Analyser / Proton-Alpha Sensor
#     DATA_VERSION                    02
#     PI_NAME                         C.J. Owen
#     PI_AFFILIATION                  MSSL-UCL, University College London, UK
#     TEXT                            Moments computed from the Proton part of ion distribution function measured                           
#                                      by PAS                                                                                                
#     INSTRUMENT_TYPE                 Plasma and Solar Wind
#     MISSION_GROUP                   Solar Orbiter
#     LOGICAL_SOURCE                  solo_L2_swa-pas-grnd-mom
#     LOGICAL_FILE_ID                 solo_L2_swa-pas-grnd-mom_20200707_V02
#     LOGICAL_SOURCE_DESCRIPTION      Solar Orbiter Level 2 Ground Calculated Moments Data from Solar Wind Analyser                         
#                                      (SWA) Proton-Alpha Sensor (PAS)                                                                       
#     RULES_OF_USE                    Consult with MSSL-UCL before using
#     GENERATED_BY                    IRAP - Toulouse
#     GENERATION_DATE                 2024-04-21T20:46:24
#     MODS                            2020/10/26 - A. Fedorov, A. Barthe - Initial version
#     SOFTWARE_VERSION                pas_process_9_1 - 2021/12/02
#     CALIBRATION_VERSION             solo_CAL_catalog_20211108_V83.txt
#     PARENTS                         solo_L1_swa-pas-3d_20240323_V01.cdf
#                                     solo_ANC_soc-flown-mk_V111_20240417_002.tm
#     CDAWEB_PARENTS                  solo_l2_swa-pas-grnd-mom_00000000_v01
#                                     solo_l2_swa-pas-grnd-mom_20240323_v02, solo_l2_swa-pas-grnd-mom_20240324_v02
#     CDFMAJOR                        COL_MAJOR
#
#              ************************************
#              ****  RECORD VARYING VARIABLES  ****
#              ************************************
#
#  1. Epoch encoded as Terrestrial Time on rotating Earth geoid, ns since J2000
#  2. Velocity in RTN frame
#
EPOCH_yyyy-mm-ddThh:mm:ss.sssZ,VR_RTN_km/s,VT_RTN_km/s,VN_RTN_km/s
2024-03-23T12:32:04.269622000Z,438.715,-21.6997,-17.5409
2024-03-23T12:32:08.269629000Z,438.737,-22.4894,-19.5537
2024-03-23T12:32:10.269633000Z,440.267,-29.1830,-27.4119
2024-03-23T12:32:12.269636000Z,437.105,-39.5033,-26.7326
2024-03-23T12:32:14.269640000Z,437.536,-45.1603,-29.6611
2024-03-23T12:32:16.269644000Z,436.461,-38.3634,-27.5997
2024-03-23T12:32:18.269647000Z,436.056,-32.5092,-22.3807
2024-03-23T12:32:20.269651000Z,441.648,-17.7783,-1.27997
2024-03-23T12:32:22.269655000Z,444.683,-15.1686,0.754794
2024-03-23T12:32:24.269658000Z,427.327,-25.1130,-13.1501
2024-03-23T12:32:26.269662000Z,438.962,-20.5927,-8.18123
2024-03-23T12:32:28.269666000Z,440.552,-27.5603,-21.2214
2024-03-23T12:32:30.269670000Z,440.523,-33.3856,-20.7646
2024-03-23T12:32:32.269673000Z,438.773,-30.4270,-16.3653
2024-03-23T12:32:34.269677000Z,426.671,-34.4801,-11.7011
2024-03-23T12:32:36.269681000Z,440.888,-29.4597,-17.1385
2024-03-23T12:32:38.269684000Z,444.863,-17.6089,-3.02422
2024-03-23T12:32:40.269688000Z,448.175,-12.0422,-1.30982
2024-03-23T12:32:42.269692000Z,448.427,-15.2217,11.0546
2024-03-23T12:32:44.269695000Z,446.967,-17.3754,11.6549
2024-03-23T12:32:46.269699000Z,428.457,-30.2010,10.0206
2024-03-23T12:32:48.269703000Z,435.702,-36.4467,7.23224
2024-03-23T12:32:50.269706000Z,436.527,-49.1210,9.45804
2024-03-23T12:32:52.269710000Z,426.001,-36.3823,5.36063
2024-03-23T12:32:54.269714000Z,436.046,-74.4419,5.76155
2024-03-23T12:32:56.269718000Z,433.056,-59.0562,-5.35807
2024-03-23T12:32:58.269721000Z,439.170,-86.3837,0.115496
2024-03-23T12:33:00.269725000Z,443.117,-98.6781,-21.7756
2024-03-23T12:33:02.269729000Z,443.271,-99.6954,-20.7541
2024-03-23T12:33:04.269732000Z,446.398,-106.176,-21.8304
