#              ************************************
#              *****    GLOBAL ATTRIBUTES    ******
#              ************************************
#
#     TITLE                           WIND
#     PROJECT                         SPDF
#     DISCIPLINE                      Space Physics>Interplanetary Studies
#                                     Solar Physics>Heliospheric Physics
#     SOURCE_NAME                     WIND> Wind
#     DATA_TYPE                       HELIO1HR>1 Hour Time Resolution from helioweb
#     DESCRIPTOR                      position>sc positions
#     DATA_VERSION                    1
#     ADID_REF                        NSSD0110
#     LOGICAL_FILE_ID                 wind_helio1hr_position_v01
#     LOGICAL_SOURCE                  wind_helio1hr_position
#     LOGICAL_SOURCE_DESCRIPTION      Position in heliocentric coordinates from SPDF Helioweb
#     PI_NAME                         Natalia Papitashvili
#     PI_AFFILIATION                  NASA/GSFC/SPDF
#     MISSION_GROUP                   Wind
#     INSTRUMENT_TYPE                 Ephemeris/Attitude/Ancillary
#     TIME_RESOLUTION                 1 hour
#     LINK_TEXT                       Heliocentric Trajectories
#     LINK_TITLE                      Documentation
#     HTTP_LINK                       https://omniweb.gsfc.nasa.gov/coho/helios/heli.html
#     DOI                             https://doi.org/10.48322/90ar-hx32
#     CDAWEB_PARENTS                  wind_helio1hr_position_00000000_v01
#                                     wind_helio1hr_position_19941102_v01
#     CDFMAJOR                        COL_MAJOR
#
#              ************************************
#              ****  RECORD VARYING VARIABLES  ****
#              ************************************
#
#  1. Time, beginning of interval
#  2. Distance from Sun to object
#  3. Latitude in heliographic Inertial Coordinate System (HGI)
#  4. Longitude in heliographic Inertial Coordinate System (HGI)
#
EPOCH_yyyy-mm-ddThh:mm:ss.sssZ,RAD_AU_AU,HGI_LAT_deg,HGI_LON_deg
2024-03-24T14:00:00.000Z,0.988700,-6.88800,108.557
2024-03-24T15:00:00.000Z,0.988700,-6.88700,108.599
2024-03-24T16:00:00.000Z,0.988700,-6.88500,108.640
2024-03-24T17:00:00.000Z,0.988700,-6.88300,108.681
2024-03-24T18:00:00.000Z,0.988700,-6.88200,108.722
2024-03-24T19:00:00.000Z,0.988700,-6.88000,108.763
2024-03-24T20:00:00.000Z,0.988700,-6.87800,108.805
2024-03-24T21:00:00.000Z,0.988700,-6.87700,108.846
2024-03-24T22:00:00.000Z,0.988800,-6.87500,108.887
2024-03-24T23:00:00.000Z,0.988800,-6.87300,108.928
2024-03-25T00:00:00.000Z,0.988800,-6.87200,108.969
2024-03-25T01:00:00.000Z,0.988800,-6.87000,109.010
2024-03-25T02:00:00.000Z,0.988800,-6.86800,109.052
2024-03-25T03:00:00.000Z,0.988800,-6.86700,109.093
2024-03-25T04:00:00.000Z,0.988800,-6.86500,109.134
2024-03-25T05:00:00.000Z,0.988800,-6.86300,109.175
2024-03-25T06:00:00.000Z,0.988900,-6.86200,109.216
2024-03-25T07:00:00.000Z,0.988900,-6.86000,109.257
2024-03-25T08:00:00.000Z,0.988900,-6.85800,109.299
2024-03-25T09:00:00.000Z,0.988900,-6.85700,109.340
2024-03-25T10:00:00.000Z,0.988900,-6.85500,109.381
2024-03-25T11:00:00.000Z,0.988900,-6.85300,109.422
#  
# Key Parameter and Survey data (labels K0,K1,K2) are preliminary browse data.
# Generated by CDAWeb on: Sat Aug 30 08:18:17 2025
