#              ************************************
#              *****    GLOBAL ATTRIBUTES    ******
#              ************************************
#
#     PROJECT                         WIND/SWE Faraday Cup (Proton - Alpha Anisotropy Analysis)
#     SOURCE_NAME                     Wind
#     DISCIPLINE                      Space Physics>Magnetospheric Science
#                                     Space Physics>Interplanetary Studies
#     DATA_TYPE                       VS>Validated Summary Data
#     DESCRIPTOR                      SWE>Solar Wind Experiment
#     FILE_NAMING_CONVENTION          source_datatype_descriptor
#     DATA_VERSION                    01
#     PI_NAME                         Bennett Maruca
#     PI_AFFILIATION                  University of Delaware
#     TEXT                            Notes:    - Data reported within this file do not exceed the limits of     various                    
#                                      paremeters listed in the following section.  There     may be more valid data                         
#                                      in the original dataset that requires     additional work to interpret but                            
#                                      was discarded due to the     limits.  In particular we have tried to exclude                          
#                                      non-solar     wind data and questionable alpha data from these files.   - We                          
#                                      provide the one sigma uncertainty for each parameter     produced by the non-linear                   
#                                      curve fitting analysis either     directly from the fitting or by propagating                         
#                                      uncertainties     for bulk speeds, flow angles or any other derived parameter.                        
#                                        - For the non-linear anisotropic proton analysis, a scalar     thermal speed                        
#                                      is produced by determining parallel and     perpendicular tmperatures, taking                         
#                                      the trace,      Tscalar = (2Tperp + Tpara)/3 and converting the result                                
#                                      back to a thermal speed.  The uncertainties are also     propagated through                           
#                                        ; Limits: ; Minimum mach number:        1.5000000 ; Maximum chisq/dof:                              
#                                                100000.00 ; Minimum distance  ;   to bow shock:                                             
#                                          5.0000000 [Re] ; Maximum uncertainty in any ;             parameter from                          
#                                      non-linear ;             analysis:                               70.0000[%]                           
#     INSTRUMENT_TYPE                 Ephemeris/Attitude/Ancillary
#                                     Plasma and Solar Wind
#                                     Magnetic Fields (space)
#     MISSION_GROUP                   Wind
#     LOGICAL_SOURCE                  wi_h1_swe_RTN
#     LOGICAL_FILE_ID                 wi_h1_swe_RTN
#     LOGICAL_SOURCE_DESCRIPTION      Solar wind proton and alpha parameters, including anisotropic temperatures,                           
#                                      derived by non-linear fitting of the measurements and with moment techniques.                         
#                                      Data in RTN                                                                                           
#     TIME_RESOLUTION                 92 seconds
#     GENERATED_BY                    Adam Szabo (adam.szabo-1@nasa.gov)
#                                     Michael L. Stevens (mstevens@cfa.harvard.edu)
#     GENERATION_DATE                 16-July-2024 16:04:05.14-04:00
#     MODS                            data analysis package revised March, 2012.
#                                     RTN Initial Release: July 16 2024
#     INPUT_FILE                      /home/anarock/workdir/rtn/sweh1/swe_pull/wi_h1_swe_20240324_v01.cdf
#     CDAWEB_PARENTS                  wi_h1_swe_rtn_00000000_v01
#                                     wi_h1_swe_rtn_20240324_v01, wi_h1_swe_rtn_20240325_v01
#     CDFMAJOR                        COL_MAJOR
#
#              ************************************
#              ****  RECORD VARYING VARIABLES  ****
#              ************************************
#
#  1. CDF Epoch time at the beginning of each SWE spectrum (milliseconds)
#       NOTES:  The Epoch value is the number of milliseconds since 01-Jan-0000 00:00:00.000
#  2. Proton velocity component Vr (RTN, km/s) from moment analysis
#       NOTES:  Statistical moments of the ion velocity distribution function (VDF) are estimated analytically from the  ion current distribution function (CDF).
#  3. Proton velocity component Vt (RTN, km/s) from moment analysis
#       NOTES:  Statistical moments of the ion velocity distribution function (VDF) are estimated analytically from the  ion current distribution function (CDF).
#  4. Proton velocity component Vn (RTN, km/s) from moment analysis
#       NOTES:  Statistical moments of the ion velocity distribution function (VDF) are estimated analytically from the  ion current distribution function (CDF).
#
EPOCH_yyyy-mm-ddThh:mm:ss.sssZ,P+_VR_MOMENT_km/s,P+_VT_MOMENT_km/s,P+_VN_MOMENT_km/s
2024-03-24T13:14:52.223Z,582.916,-12.6621,24.3842
2024-03-24T13:19:50.579Z,554.384,10.3658,23.8222
2024-03-24T13:21:31.078Z,599.319,-7.85604,11.8345
2024-03-24T13:26:32.574Z,564.307,-4.10045,32.1709
2024-03-24T13:28:13.073Z,572.659,-5.52479,34.1039
2024-03-24T13:29:53.572Z,578.387,-14.3959,27.8551
2024-03-24T13:31:34.071Z,577.958,-12.1403,23.6878
2024-03-24T13:33:14.570Z,577.082,-1.75349,25.9558
2024-03-24T13:34:55.069Z,559.694,3.35089,23.4651
2024-03-24T13:36:35.567Z,566.570,16.7755,23.8832
2024-03-24T13:38:16.066Z,565.924,-4.05666,24.5334
2024-03-24T13:39:56.565Z,567.531,21.4619,16.5014
2024-03-24T13:41:37.064Z,552.142,16.8480,17.1782
2024-03-24T13:43:17.563Z,560.578,-38.3161,-28.5543
2024-03-24T13:44:54.921Z,562.481,-47.1711,-28.3498
2024-03-24T13:46:35.420Z,571.771,-63.9575,12.5640
2024-03-24T13:51:36.916Z,534.039,-8.88558,-4.75824
2024-03-24T13:53:17.415Z,543.347,-12.6728,15.7682
2024-03-24T13:54:54.773Z,570.044,-17.7282,36.5624
2024-03-24T13:56:35.272Z,560.315,10.6380,-22.7988
2024-03-24T13:58:15.771Z,592.906,1.87098,11.9000
2024-03-24T13:59:56.270Z,556.766,11.4703,3.50833
2024-03-24T14:01:36.768Z,563.305,10.3720,14.9182
2024-03-24T14:03:17.267Z,570.783,-8.39985,23.4178
2024-03-24T14:04:57.766Z,565.380,3.46949,25.7881
2024-03-24T14:06:38.265Z,574.201,24.0646,-1.97368
2024-03-24T14:08:21.904Z,585.006,28.9881,14.6947
2024-03-24T14:10:02.402Z,620.841,-2.15872,10.3197
2024-03-24T14:11:42.901Z,604.274,-64.6535,-16.3838
2024-03-24T14:13:23.400Z,805.115,-0.0545969,-134.169
2024-03-24T14:15:03.898Z,778.954,12.5770,-97.4327
2024-03-24T14:16:44.397Z,819.105,-39.8018,-93.1322
2024-03-24T14:18:21.755Z,790.862,-33.6980,-107.423
2024-03-24T14:21:36.470Z,791.676,-6.17753,-71.3763
2024-03-24T14:23:13.828Z,759.532,-29.5175,-87.6813
2024-03-24T14:24:51.186Z,764.569,-19.5871,-96.1365
2024-03-24T14:26:28.544Z,763.475,-32.6088,-129.942
2024-03-24T14:28:05.902Z,766.397,-18.4484,-124.968
2024-03-24T14:29:43.259Z,747.354,-1.56919,-87.5505
2024-03-24T14:31:20.617Z,742.417,-29.5494,-113.969
2024-03-24T14:33:01.115Z,737.253,-14.5856,-121.576
2024-03-24T14:34:41.614Z,742.193,14.6220,-96.9512
2024-03-24T14:36:15.831Z,734.868,-19.8511,-142.835
2024-03-24T14:39:36.827Z,743.836,33.6857,-136.723
2024-03-24T14:41:14.185Z,756.274,17.6639,-133.336
2024-03-24T14:42:51.543Z,759.089,15.8010,-138.539
2024-03-24T14:44:28.900Z,751.151,15.6077,-140.051
2024-03-24T14:46:03.117Z,767.762,51.8152,-116.359
2024-03-24T14:47:40.475Z,762.235,58.0728,-107.463
2024-03-24T14:49:17.832Z,748.373,49.6912,-118.090
2024-03-24T14:50:55.190Z,751.720,39.8486,-112.935
2024-03-24T14:52:32.547Z,750.522,41.5997,-121.138
2024-03-24T14:54:09.905Z,747.519,39.8636,-142.852
2024-03-24T14:55:50.403Z,738.750,50.5953,-134.551
2024-03-24T14:57:27.760Z,756.973,45.4654,-121.862
2024-03-24T14:59:05.118Z,776.267,21.9604,-100.984
